mies mjes
chucha ˈtʃu.tʃa
andamio an.ˈda.mjo
bus ˈbus
senectud se.nekˈtuð
entrego enˈtɾe.ɰo
abejero a.βeˈxe.ɾo
impregnar im.pɾeɣˈnaɾ
sirte siɾˈte
pasividad pa.si.βiˈðað
hacha ˈa.tʃa
ininteligible in.in.te.liˈxi.βle
comprar komˈpɾaɾ
dejante d̪eˈxan.te
vendar ben̪ˈdaɾ
chascarro tʃasˈkɑ.ro
hermeneuta eɾ.meˈnew.ta
anfractuoso an.fɾakˈtwo.so
gestar gesˈtaɾ
desencogimiento des.eŋ.ko.xiˈmjen̪.to
divulgar di.βulˈɰaɾ
overo oˈβe.ɾo
breve ˈbɾe.βe
contentible kon.tenˈti.βle
petenera pe.teˈne.ɾa
polifagia po.liˈfa.xja
agraciadamente ˌa.ɣɾaˈsja.ðaˈmen̪.te
girasol xi.ɾaˈsol
singladura sin.glaˈðu.ɾa
salamanca sa.laˈmaŋ.ka
abejuno a.βe.ˈχu.no
gratamente ˈgɾa.taˈmen̪.te
adiestrador a.ðjes.tɾaˈðoɾ
aparentemente a.pa.ˌɾen.te.ˈmen.te
decusado de.kuˈsa.ðo
relabrar ɾe.laˈβɾaɾ
escoliosis es.koˈljo.sis
caldo ˈkal.ðo
aguardiente a.ɣwaɾˈðjen̪.te
ocurrencia o.kuˈren.sja
champuz tʃamˈpus
ossobuco o.soˈβu.ko
suscrito susˈkɾi.to
dicaz diˈkas
activista ak.tiˈβis.ta
triodo ˈtɾi.oðo
vos bos
magnate maɰ.ˈna.te
fuste ˈfus.te
cansera kan.ˈse.ɾa
rubriquista ru.βɾiˈkis.ta
bular buˈlaɾ
desinvernar des.im.beɾˈnaɾ
letrado leˈtɾa.ðo
adjutorio að.xuˈto.ɾjo
veraneo be.ɾaˈne.o
pagamento pa.ɰaˈmen.to
sosegar so.seˈɰaɾ
infecundarse iɱ.fe.kun̪ˈdaɾ.se
lacustre laˈkus.tɾe
agorero a.ɣoˈɾe.ɾo
agareno a.ɰaˈɾe.no
luchar luˈtʃaɾ
mallo ˈma.ʝo
abruzarse a.βɾuˈsaɾ.se
acairelar a.kaj.ɾeˈlaɾ
furgoneta fuɾ.ɰo.ˈne.ta
coprofagia ko.pɾo.ˈfa.xja
chala ˈtʃa.la
narguile naɾˈɣi.le
heno ˈe.no
chambergo ʧamˈbeɾ.ɰo
saltar sal.ˈtaɾ
medroso me.ˈðɾo.so
curiosidad ku.ɾjo.siˈðað
limadura li.ma.ˈðu.ɾa
quimba ˈkim.ba
triptongar tɾip.toŋ'gaɾ
corporeizar koɾ.po.ɾei̯ˈsaɾ
conquense konˈken.se
indolencia in.doˈlen.sja
terma ˈteɾ.ma
encrestarse eŋ.kɾesˈtaɾ.se
desafuciar des.a.fuˈsjaɾ
molliznear mo.ʎis.neˈaɾ
placimiento pla.siˈmjen̪.to
talvez talˈβes
innovar in.noˈβaɾ
manifiestamente ma.niˈfjes.taˈmen̪.te
escasez es.kaˈses
locha ˈlo.tʃa
obispo oˈβis.po
estadio esˈta.dio
considerable kon.si.de.ˈɾa.βle
colapez ko.laˈpes
adictivo a.ðikˈti.βo
leopardo le.o.ˈpaɾ.ðo
conjuntivitis koɲ.xuṉ.tiˈβi.tis
bifurcarse bi.fuɾˈkaɾ.se
abundoso a.βun̪ˈdo.so
desengranar de.seŋ.gɾaˈnaɾ
silogismo si.loˈxis.mo
cacharro kaˈtʃa.ro
aclavelado a.kla.βeˈla.ðo
asma ˈas.ma
listonar lis.toˈnaɾ
brusquedad bɾus.keˈðað
catatipia ka.taˈti.pja
proyectar pɾo.ʝekˈtaɾ
chistu ʧi.stu
solicitar so.li.siˈtaɾ
sanar saˈnaɾ
afacer a.faˈseɾ
instrumental ins.tɾu.menˈtal
concionar kon.sjoˈnar
maxilar ma.ksiˈlaɾ
chiar tʃjaɾ
abarramiento a.β̞a.ra.ˈmi̯en̪.t̪o
ministerialmente mi.nis.teˈɾjalˈmen.te
revisto reˈβis.to
flagrancia flaˈɣɾan.sja
dosis ˈdo.sis
aparejo a.paˈɾe.xo
caballar ka.βa.ˈʎu.no
turbulento tuɾ.β̞uˈlẽ̞n̪.to̞
olla ˈo.ʎa
injusto iŋ.ˈxus.to
acordar a.kor.ˈdar
almagral al.maˈɣɾal
zabida sa.ˈβi.ða
colegiatura ko.le.xja.ˈtu.ɾa
piriforme pi.ɾi.ˈfoɾ.me
equino eˈki.no
dominar do.mi.ˈnaɾ
libelo liˈβe.lo
sensual senˈswal
arrepanchigarse a.re.paɲ.tʃiˈɣaɾ.se
temperatura tem.pe.ɾa.ˈtu.ɾa
neologismo ne.o.lo.ˈxis.mo
improprio imˈpɾo.pɾjo
pechuga peˈtʃu.ɰa
formal foɾˈmal
comandancia ko.manˈdan.sja
corroer ko.roˈeɾ
asertorio a.seɾˈto.ɾjo
indisculpable in.dis.kulˈpa.βle
adamamiento a.ða.maˈmjen̪.to
turno ˈtuɾ.no
traspatio tɾasˈpa.tjo
fotograma fo.toˈɣɾa.ma
aventura a.βenˈtu.ɾa
migaja miˈɣa.xa
geisha ˈgej.ʃa
rondalla ɾon̪ˈda.ʎa
ancestral an.sesˈtɾal
gramaje gɾaˈma.xe
abaratar a.ba.ɾa.ˈtar
zote ˈso.te
exprimir eks.pɾiˈmiɾ
contraatacar kon̯.tɾa.a.taˈkaɾ
confricar kon.fɾiˈkaɾ
impresionar im.pɾe.sjoˈnaɾ
entente en̪ˈten̪.te
adiva aˈði.βa
agerasia a.xeˈɾa.sja
gata ˈga.ta
inquietar iŋ.kjeˈtaɾ
anual aˈnwal
ajipa aˈxi.pa
relicario re.liˈka.ɾjo
resaca reˈsa.ka
tugurio tuˈɰu.ɾjo
acicalador a.si.ka.laˈdðoɾ
chotear tʃo.teˈaɾ
tacuara taˈkwa.ɾa
ganglionar gaŋ.gljo.ˈnaɾ
pelilargo pe.liˈlaɾ.ɣo
violento bjoˈlen.to
anoche aˈno.ʈʃe
acecido a.seˈsi.ðo
libreto liˈβɾe.to
aditicio a.ðiˈti.sjo
escenificar es.se.ni.fiˈkaɾ
acionera a.sjoˈne.ɾa
sandez san̪ˈdes
registrador re.xisˈtɾa.ðoɾ
notoriedad no.to.ɾjeˈðað
habilidad a.βi.liˈðað
arquitrabe aɾ.kiˈtɾa.βe
descolocar des.ko.loˈkaɾ
azada a.ˈsa.ða
bozo ˈbo.so
batidera ba.tiˈðe.ɾa
afeitadera a.fej.taˈðe.ɾa
afiladura a.fi.laˈðu.ɾa
fisionable fi.sjoˈna.βle
boscaje bosˈka.xe
agencia aˈxen.sja
contenteza kon.tenˈte.sa
trefilar tɾe.fiˈlaɾ
deleitar de.lejˈtaɾ
dingolondango diŋ.go.lonˈdaŋ.go
rostro ˈros.tɾo
tunear tu.neˈaɾ
sujeto suˈxe.to
descomulgar des.ko.mul.ˈgar
destajar des.taˈxaɾ
majuelo maˈxwe.lo
prevalecer pɾe.βa.leˈseɾ
carnestolendas kaɾ.ˌnes.to.ˈlen.das
estireno es.tiˈɾe.no
abortadura a.βoɾ.taˈðu.ɾa
misionario mi.sjoˈna.ɾjo
magenta maˈxen.ta
ablentador a.βlen̪.taˈðoɾ
garaje ga.'ɾa.xe
aguacate a.waˈka.te
laberinto la.βeˈɾin.to
explotar eks.ploˈtaɾ
acebeda a.seˈβe.ða
rechifla reˈtʃi.fla
suculentamente su.kuˈlen̪.taˈmen̪.te
presupuestar pɾe.su.pwesˈtaɾ
citoplasma si.toˈplas.ma
lexical lek.siˈkal
velarizar be.la.ɾiˈsaɾ
atisbar a.tisˈβaɾ
detergente ˈde.ter xen.te
obispado o βis ˈpa ðo
vocativo bo.kaˈti.βo
rival riˈβal
suripanta su.ɾiˈpan.ta
adoptable a.ðopˈta.βle
musitar mu.siˈtaɾ
empiluchar em.pi.luˈtʃaɾ
labe ˈla.βe
galeato gaˈlea.to
exponencial eks.po.nenˈsjal
porno ˈpoɾ.no
retundir re.tun.ˈdiɾ
delantero de.lanˈte.ɾo
amelcochar a.mel.koˈtʃaɾ
demasiarse de.maˈsjaɾ.se
corrugar ko.ruˈɣaɾ
curar kuˈɾaɾ
antecuarto an̪.teˈkwaɾ.to
farmacia faɾˈma.sja
formalmente foɾˈmalˈmen.te
capitalismo ka.pi.ta.ˈlis.mo
merindad me.ɾin.ˈdað
lunarejo lu.naˈɾe.xo
caballerosamente ka.βa.ʎe.ˌɾo.sa.ˈmen.te
decretorio de.kɾeˈto.ɾjo
mateo ma.ˈte.o
remache reˈma.ʧe
mofletudo mo.fleˈtu.ðo
contioso kon̪ˈtjo.so
vitamina bi.taˈmi.na
paradero pa.ɾaˈðe.ɾo
pactar pak.ˈtaɾ
eriazo eˈɾja.so
sabotaje sa.βoˈta.xe
ballet baˈle
horrar oˈraɾ
asamblea a.sam.ˈble.a
parque ˈpaɾ.ke
amapola a.maˈpo.la
longaniza loŋ.gaˈni.sa
aerofagia a.e.ɾoˈfa.xja
infumable in.fuˈma.βle
barbudo barˈβuðo
chispear tʃis.pe.ˈaɾ
aditamento a.ði.taˈmen̪.to
pulpa ˈpul.pa
desenfocar de.sen.foˈkaɾ
decente deˈsen.te
tangencia taŋˈxen.sja
gliptoteca glip.toˈte.ka
eme ˈe.me
fuselaje fu.seˈla.xe
carena kaˈɾe.na
indiana inˈdja.na
acordante a.koɾˈðan̪.te
tute ˈtu.te
asesinar a.se.si.ˈnaɾ
elefantiasis e.le.fan.ˈtja.sis
cornucopia coɾ.nuˈko.pja
cachimba kaˈtʃim.ba
acefalia a.seˈfa.lja
braceral bɾa.seˈɾal
extrovertido eks.tɾo.βeɾˈti.ðo
pavo ˈpa.βo
abalanzar a.βa.lanˈsaɾ
enfurecer eɱ.fu.ɾeˈseɾ
clerical kle.ɾiˈkal
ala ˈa.la
tirita ti.ˈɾi.ta
almiar alˈmjaɾ
desintestinar des.in̪.tes.tiˈnaɾ
labio ˈla.βjo
acribador a.kɾi.βaˈðoɾ
hiemal jeˈmal
monstruosamente monsˈtɾwo.saˈmen.te
chile ˈtʃi.le
sacudidamente sa.kuˈði.ðaˈmen̪.te
ringar riŋˈgaɾ
cenote seˈnoˌte
altitonante al.ti.toˈnan̪.te
suplir suˈpliɾ
raquianestesia ra.kja.nesˈte.sja
seguidamente seˈɰi.ðaˈmen.te
hepatocito e.pa.to.ˈsi.to
miserear mi.se.ɾeˈaɾ
pichiruche pi.tʃi.ˈɾu.tʃe
estudiar es.tu.ˈðjaɾ
maraca maˈɾa.ka
talparia talˈpa.ɾja
instructivo ins.tɾukˈti.βo
anticuario an.tiˈkwa.ɾjo
arrugable a.ruˈɣa.βle
extinto eks.ˈtin.to
sirviente siɾˈβjen.te
veneno beˈne.no
ponderable poN de ˈra βle
amancebarse a.man̪.seˈβaɾ.se
taparear ta.pa.ɾeˈaɾ
exacto eˈksak.to
catete kaˈte.te
registro reˈxis.tɾo
neonato ne.oˈna.to
partidario paɾ.tiˈða.ɾjo
ahilamiento ai.laˈmjen̪.to
abreboca a.βɾeˈβo.ka
instructivamente ins.tɾukˈti.βaˈmen̪.te
zumoso suˈmo.so
tremoso ˌtɾeˈmo.so
acerbidad a.seɾ.βiˈðað
puente ˈpwen.te
acrecentamiento a.kɾeˈsen̪.taˈmjen̪.to
escaramuzar es.ka.ɾa.muˈsaɾ
zarpar saɾˈpaɾ
bachatero ba.t∫aˈte.ɾo
chiste ˈtʃis.te
comprender kom.pɾenˈdeɾ
salpicadero sal.pi.kaˈðe.ro
rigor riˈɰoɾ
edificio e.ðiˈfi.sjo
abacalero a.βa.kaˈle.ɾo
convocar kom.boˈkaɾ
actriz akˈtɾis
bola ˈbo.la
elegidor e.le.xiˈðoɾ
abstencionista aβs.ten̪.sjoˈnis.ta
complicidad kom.pli.siˈðað
pocilga poˈsil.ɰa
chichilasa tʃi.tʃiˈla.sa
alcanzar al.kanˈsaɾ
yapa ˈʝa.pa
lenteza len̪ˈte.sa
tersura teɾ.ˈsu.ɾa
vulgar bulˈɣaɾ
moralidad mo.ɾa.liˈðað
emprestar em.pɾesˈtaɾ
envolvente en.bol.ˈβen̯.te
estigma es.ˈtiɰ.ma
jeringa xeˈɾiŋ.ga
emputecer em.pu.teˈseɾ
antemano an̪.teˈma.no
aforador a.fo.ɾaˈðoɾ
abyecto aβˈʝek.to
gobierno goˈβjeɾ.no
antistrofa an.tisˈtɾo.fa
fueras ˈfwe.ɾas
edicto eˈðik.to
divididero di.βi.ðiˈðe.ɾo
abuhado a.βuˈa.ðo
entonadera en̪.to.naˈðe.ɾa
trastrocamiento t̪ɾas.t̪ɾo.kaˈmjen̪.t̪o
maza ˈma.sa
aromar a.ɾoˈmaɾ
amigable a.miˈɰa.ble
estresante es.tɾeˈsan̪.te
musculatura mus.ku.la.ˈtu.ɾa
ultrasonido ˌul.tɾa.so.ˈni.ðo
rico ˈri.ko
clavario kla.ˈβa.ɾjo
mito ˈmi.to
escoriar es.koˈɾjaɾ
reyezuelo re.ʝeˈswe.lo
delito deˈli.to
azar aˈsaɾ
igualeza i.ɣwaˈle.sa
conducto konˈduk.to
rehogar re.o.ˈɰaɾ
acobijar a.ko.βiˈxar
achuntar a.tʃun.ˈtaɾ
adverbial að.βeɾˈβjal
luchador lu.tʃaˈðoɾ
abanderizar a.βan.de.ɾiˈsaɾ
tres tɾes
hartazgo aɾˈtas.ɰo
necio ˈne.sjo
caninamente kaˈni.naˈmen̪.te
trajinante tɾa.xiˈnan.te
atrasar a.tɾaˈsaɾ
eh ˈeh
arlote ar ´lo te
gangocho gaŋˈɰo.ʧo
osario oˈsa.ɾjo
antevedimiento an̪.te.βe.ðiˈmjen̪.to
devastar de.βasˈtaɾ
aire ˈaj.ɾe
canalete ka.na.ˈle.te
liso ˈli.so
elogiar e.loˈxjaɾ
propender pɾo.penˈdeɾ
caducifolio ka.ðu.siˈfol.jo
ingenio iŋˈxe.njo
coreuta ko.ˈɾew.ta
tehuelche teˈwel.tʃe
darico daˈɾi.ko
rotuliano ro.tu.ˈlja.no
acalugar a.ka.luˈɣaɾ
apuesta aˈpwes.ta
kiosco ˈkjos.ko
espionaje es.pjo.ˈna.xe
travesear tɾa.βe.seˈaɾ
lamentoso la.menˈto.so
masora maˈso.ɾa
yola ˈʝo.la
persuasivo peɾ.swaˈsi.βo
cachurear ˌka.tʃu.ɾe.ˈaɾ
degenerante de.xe.neˈɾan̪.te
eminencia e.miˈnen.sja
abocetado a.βo.seˈta.ðo
seguimiento se.ɣiˈmjen̪.to
examen ekˈsa.men
mollizna mo.ˈʎis.na
aguaitar a.ɣwajˈtaɾ
manicomio ma.niˈko.mjo
litofotografiar ˌli.to.fo.to.ɣɾaˈfjaɾ
bienza ˈbjen.sa
paralelogramo pa.ɾa.ˌle.loˈɣɾa.mo
pantera pan.ˈte.ɾa
encontrar en.kon.ˈtɾaɾ
equivalencia e.ki.βaˈlen.sja
superbia suˈpeɾ.βja
viral bi.ˈɾal
coloquial ko.lo.ˈkjal
prevaler pɾe.βaˈleɾ
alabear a.la.βeˈaɾ
extraoficial eks.tɾa.o.fi.ˈsjal
disparatorio dis.pa.ɾaˈto.ɾjo
achote aˈtʃo.te
percudir peɾ.kuˈðiɾ
chalado t͡ʃaˈla.ðo
obelisco o.βeˈlis.ko
optimismo op.tiˈmis.mo
constrictor kons.trikˈtoɾ
derelinquir de.ɾe.liŋˈkiɾ
salvamento sal.βaˈmen.to
plexo ˈple.kso
hemoglobina e.mo.gloˈβi.na
sufridor su.fɾiˈðoɾ
halda ˈal.da
sobreentender so.βɾen̪.ten̪ˈdeɾ
hemeroteca e.me.ɾoˈte.ka
apalancar a.pa.laŋˈkaɾ
parcelario paɾ.seˈla.ɾjo
competidor kom.pe.tiˈðoɾ
axila ak.ˈsi.la
majoleta ma.xoˈle.ta
navidad na.βiˈðað
sicofante si.koˈfan.te
imputar im.puˈtaɾ
africanista a.fɾi.kaˈnis.ta
barrote baˈro.te
alburear al.bu.ɾe.ˈaɾ
canica kaˈni.ka
corta ˈkoɾ.ta
tabacal ta.βaˈkal
medusa meˈðu.sa
aceto aˈtʃe.to
panal pa'nal
pastuso pasˈtu.so
copuchar ko.pu.ˈtʃaɾ
nopal noˈpal
manganeso maŋ.gaˈne.so
adorar a.ðoˈɾaɾ
changle ˈtʃaŋ.gle
carro ˈka.ro
anoticiar a.no.tiˈsjaɾ
paquete paˈke.te
apartheid əˈpɑ:teɪt
crural kɾuˈɾal
vigoroso bi.ɣoˈɾo.so
atontecer a.ton̪.teˈseɾ
estancar es.taŋˈkaɾ
apartamiento a.paɾ.taˈmjen.to
acanelonar a.ka.ne.loˈnaɾ
divinar di.βiˈnaɾ
minio ˈmi.njo
ginebrada xi.neˈβɾa.ða
buseta buˈse.ta
macaense ma.kaˈen.se
achojcha aˈtʃox.tʃa
repentirse re.pen̪ˈtiɾ.se
dignatario diɣ.naˈta.ɾjo
creendero kɾe.enˈde.ɾo
comparable kom.paˈɾa.βle
abroncar a.βɾoŋˈkaɾ
bazuca ba.ˈsu.ka
helenismo e.leˈnis.mo
memoria meˈmo.ɾja
felicidad fe.li.siˈðað
hidalgo iˈðal.ɰo
medicastro me.diˈkas.tɾo
concienciar con.sjenˈsjaɾ
esponja esˈpoŋ.xa
fritanga fɾiˈtaŋ.ga
condescender kon̪.de.sen̪ˈdeɾ
juramentar xu.ɾa.menˈtaɾ
santo ˈsan.to
fruta ˈfru.ta
carretera ka.reˈte.ɾa
vario ˈba.ɾjo
preponderante pre poN de ˈraN te
arar a.ˈɾaɾ
gratuidad gɾa.twiˈðað
ensombrecer en.som.βɾeˈseɾ
legislador le.xis.laˈðor
boyardo boˈʝaɾ.do
colgar kolˈɰaɾ
disparatado dis.pa.ɾaˈta.ðo
murar muˈɾaɾ
chirlear tʃiɾ.leˈaɾ
ahogadilla a o γa ˈði λa
familiarmente faˈmi.ljarˈmen.te
actualizador ak.t̪wa.li.saˈðoɾ
secularizar se.ku.la.ɾiˈsaɾ
ebrioso eˈβɾjo.so
silabear si.la.βeˈaɾ
alfarero al.fa.ˈɾe.ɾo
inflamatorio in.fla.ma.ˈto.ɾjo
ocurrir o.kuˈriɾ
tobiano toˈβia.no
porquezuela poɾ.keˈswe.la
integrista in.te.ˈgɾis.mo
mortificar moɾ.ti.fiˈkaɾ
chamuscar ʧa.musˈkaɾ
interferir in̪.teɾ.feˈɾiɾ
abatatar a.βa.taˈtaɾ
pasar paˈsaɾ
rubefaciente ru.βe.faˈsjen.te
obituario o.βiˈtwa.ɾjo
semilla seˈmi.ʎa
protervo pɾoˈteɾ.βo
modernismo mo.ðeɾˈnis.mo
rigidez ri.xi.ˈðes
magostar ma.ɰosˈtaɾ
subir su.biɾ
candidatura kan.di.ðaˈtu.ɾa
florar floˈɾaɾ
faringitis fa.ɾin.ˈxi.tis
vericueto be.ɾi.ˈkwe.to
campera kamˈpe.ɾa
extendidamente eks.ten.di.ðaˈmen.te
excoriar eks.koˈɾjaɾ
colorir ko.loˈɾiɾ
acertador a.seɾ.taˈðoɾ
lobby ˈlo.βi
discurrir dis.kuˈriɾ
lozano loˈsa.no
cuan ˈkwan
curtidor kuɾ.tiˈðoɾ
aljibe alˈxi.βe
santandereano san̪.tan̪.de.ɾeˈa.no
pedriscal pe.ðɾisˈkal
natalicio na.taˈli.sjo
mecanografiar me.ka.no.ɣɾaˈfjaɾ
acibarar a.si.βaˈɾaɾ
volver bolˈβeɾ
relevancia re.leˈβan̪.sja
ligamentoso li.ɣa.men̪ˈto.so
dolor doˈloɾ
concordia koŋˈkoɾ.ðja
ros ˈros
ascetismo as.seˈtis.mo
considerar kon.si.ðeˈɾaɾ
picadero pi.kaˈðe.ɾo
torrar toˈraɾ
tesar teˈsaɾ
codadura ko.ðaˈðu.ɾa
canje ˈkan.xe
apuradero a.pu.ɾaˈðe.ɾo
tungsteno tuŋ(g)sˈte.no
fulcro ˈɸul.kɾo
ansiar anˈsjaɾ
rodezno roˈðes.no
cognoscitivo kog.no.siˈti.βo
sarrio reˈβe.ko
puzle ˈpus.le
bicuento biˈkwen.to
canta ˈkan.ta
acaparar a.ka.paˈɾaɾ
malpensado mal.penˈsa.ðo
golfante golˈfan̪.te
encantamiento eŋ.kan.taˈmjen.to
forestal fo.ɾesˈtal
sacrificio sa.kɾiˈfi.sjo
atrofiar a.tɾoˈfjaɾ
yen ˈʝeŋ
lascivia laˈsi.βja
cisura siˈsu.ɾa
reverenciar re.βe.ɾenˈsjaɾ
culeca kuˈle.ka
zalamero sa.laˈme.ɾo
sopar soˈpaɾ
exentar e.ksen̪ˈtaɾ
peplo ˈpe.plo
insignificante in.siɣˌni.fiˈkan.te
adarme aˈðar.me
lengua ˈleŋ.gwa
matoso maˈto.so
baleo baˈle.o
adustible a.ðusˈti.βle
estabilizador es.t̪a.βi.li.saˈðoɾ
animismo a.ni.ˈmis.mo
valorativo ba.lo.ɾaˈti.βo
creso ˈkɾe.so
dosificar do.si.fi.ˈkar
impertinente im.per.tiˈnen̪.te
diamantista dja.man̪ˈtis.ta
vilo ˈbi.lo
amenguadamente a.meŋˈɣwa.ðaˈmen̪.te
descongestionar des.koŋ.xes.tjoˈnaɾ
santamente ˈsan̪.taˈmen̪.te
minueto miˈnue.to
escaquear es.ka.keˈaɾ
implacable im.plaˈka.βle
beneficio be.ne.ˈfi.sjo
cabildante ka.βilˈdan̪.te
alabandina a.la.βan̪ˈdi.na
narrar naˈraɾ
bromear bɾo.meˈaɾ
crotorar kɾo.toˈɾaɾ
pasmosamente pasˈmo.saˈmen̪.te
derrocar de.roˈkaɾ
reincidente rejn.siˈðen̪.te
emplebeyecer em.ple.βe.ʝeˈseɾ
afrailamiento a.fɾaj.laˈmjen̪.to
acromio ...
desgradecido ˌdes.ɣɾa.ðeˈsi.ðo
despegar des.peˈɰaɾ
arriendo aˈrjen.do
abobar a.βoˈβaɾ
meteorito me.teoˈɾi.to
entregerir en.tɾe.xeˈɾiɾ
gusano guˈsa.no
abetunar a.βe.tuˈnaɾ
terriblez te.riˈβles
hatajo a.ˈta.xo
tijera tiˈxe.ɾa
amasamiento a.ma.saˈmjen̪.to
guantera ɣwan̪ˈte.ɾa
penitente pe.ni.ˈten.te
antiparasitario an̪.ti.pa.ɾa.siˈta.ɾjo
estofado es.toˈfa.ðo
frutilla fɾuˈti.ʝa
bienestar bje nes ˈtaɾ
acuradamente a.kuˈɾa.ðaˈmen̪.te
magia ˈma.xja
rebencazo re.βeŋˈka.so
tartalear taɾ.ta.leˈaɾ
fastidiar fas.tiˈðjaɾ
solanar so.laˈnaɾ
batayola ba.ta’ʝo.la
calabaza ka.laˈβa.sa
voluntarioso bo.lun̪.taˈɾjo.so
banderizar βan.de.ɾiˈsaɾ
esotro eˈso.tɾo
sufrir suˈfɾiɾ
purgable puɾˈɰa.βle
disco ˈdis.ko
azafate a.saˈfa.te
abstraer abs.tɾaˈeɾ
televisivo te.le.βiˈsi.βo
aerostero a.e.ɾosˈte.ɾo
idealismo i.ðe.aˈlis.mo
decenio deˈse.njo
necedad ne.seˈðað
notro ˈno.tɾo
racial raˈsjal
celebridad se.le.βriˈðað
ampulosidad am.pu.lo.siˈðað
improvisar im.pɾo.βiˈsaɾ
cayote kaˈʝo.te
cremoso kɾeˈmo.so
achiguarse a.tʃiˈɣwaɾ.se
realme reˈal.me
priorizar pɾjo.ɾi.ˈsaɾ
desaplicar de.sa.pliˈkaɾ
abordable a.βoɾ.ˈda.βle
casamata ka.saˈma.ta
elegancia e.leˈgan.sja
argel aɾ.ˈxel
gambeta ˈgam.be.ta
acudir a.ku.ðiɾ
calefactor ka.le.fakˈtoɾ
significador sik.ni.fi.kaˈðoɾ
leima ˈlej.ma
eutanasia eu.taˈna.sja
desflaquecimiento des.fla.ke.siˈmjen̪.to
bibliomancia bi.βljoˈman.sja
anticresis an.tiˈkɾe.sis
abondar a.βon̪ˈdaɾ
independencia in̪.de.pen̪ˈden.sja
tutor tuˈtoɾ
truco ˈtɾu.ko
napelo na.ˈpe.lo
parral paˈral
domar doˈmaɾ
moderado mo.ðeˈɾa.ðo
gasajar ga.saˈxaɾ
cebador se.βaˈðoɾ
psiquis ˈpsi.kis
pizarra piˈsa.ra
pastosidad pas.to.si.ˈðað
perro ˈpe.ro
sonoridad so.no.ɾiˈðað
esencia eˈsen.sja
cuadriguero kwa.ðɾiˈɣe.ɾo
aculatar a.ku.laˈtaɾ
camaldulense ka.mal.ðuˈlen.se
ganglio ˈgaŋ.gljo
dogma ˈdoɰ.ma
tripe ˈtɾi.pe
plomo ˈplo.mo
acelerar a.se.leˈɾaɾ
chacotear tʃa.ko.teˈaɾ
esbozar es.βoˈsaɾ
abominar a.βo.miˈnar
achalay a.tʃaˈlaj
engrosecer en.gɾo.seˈseɾ
posponer pos.poˈneɾ
sublingual sub.liŋ.ˈgwal
compilar kom.piˈlaɾ
asonante a.soˈnan̪.te
orinecer o.ɾi.neˈseɾ
periplo pe.ˈɾi.plo
realizar re.a.liˈsaɾ
dintorno din.ˈtoɾ.no
localidad lo.ka.liˈðað
rubro ˈru.βɾo
salve sal.be
divisar di.βiˈsaɾ
indagar in.daˈɣaɾ
anunciar a.nun.ˈsjaɾ
mol ˈmol
calvinismo kal.βiˈnis.mo
hortelano oɾ.teˈla.no
fustal fusˈtal
jilguero xilˈɰe.ɾo
luna ˈlu.na
hemisferio e.mis.ˈfe.ɾjo
muestreo mwesˈtɾe.o
gerundivo xe.ɾunˈdi.βo
limosnear li.mos.neˈaɾ
zapallo saˈpa.ʝo
dignificante dig.ni.fiˈkan̪.te
protozoo pɾo.toˈso.o
clister klisˈteɾ
ocre ˈo.kɾe
arrepticio a.repˈti.sjo
trepajuncos ˌtɾe.paˈxuŋ.kos
instante insˈtan̪.te
acequiar a.seˈkjaɾ
embarazar em.ba.ɾaˈsaɾ
elucidar e.lu.siˈðaɾ
huemul we.ˈmul
guardafrenos gwaɾ.ðaˈfɾe.nos
vergel beɾˈɣel
treno ˈtɾe.no
aparador a.pa.ɾaˈðoɾ
chacha ˈtɕa.tɕa
gavanzo gaˈβan.so
aquilino a.kiˈli.no
adjunto aðˈxun.to
luctuoso luk.tuˈoso
septo ˈsep.to
ansioso anˈsjo.so
lisonjeramente li.son.xe.ɾaˈmen̪.te
ingente iŋˈxen̯.te
inculcar iŋ.kulˈkaɾ
asmamiento as.maˈmjen.to
preocupar pɾe.o.kuˈpaɾ
corvar koɾˈβaɾ
luteranismo lu.te.ɾaˈnis.mo
quevedos keˈβe.ðos
seroso seˈɾo.so
bituminoso bi.tu.miˈno.so
infeliz in.fe.ˈlis
lancinante lan.siˈnan.te
inigualado in.i.ɣwaˈla.ðo
atemorizar a.te.mo.ɾiˈsaɾ
sudaca suˈða.ka
calcio ˈkal.sjo
guardavela gwaɾ.ðaˈβe.la
fila ˈfi.la
rabiosamente raˈβjo.saˈmen̪.te
zangandungo saŋ.gan̪ˈduŋ.go
zanja ˈsan.xa
independentista in.de.pen.denˈtis.ta
balde ˈbal.ðe
fenicio feˈni.sjo
inmigrar in.miˈɣɾaɾ
leonero ˌle.o.ˈne.ɾo
debrocar de.βɾoˈkaɾ
disruptivo dis.rupˈti.βo
urgente uɾˈxen̪.te
bofetada bo.feˈta.ða
obstruccionismo oβs.tɾuk.sjoˈnis.mo
hacia ˈa.sja
devastador de.βas.taˈðoɾ
jofaina xoˈfaj.na
pasivamente pa.si.βa'men.te
afeminadamente a.fe.mi.ˈna.ðaˈmen̪.te
mayordomazgo ma.ʝoɾ.ðoˈmas.ɰo
cabrero kaˈβɾe.ɾo
yagrumo ʝa.ˈgɾu.mo
acohombrar a.ko.omˈbɾaɾ
ostia ˈos.tja
tarea taˈɾe.a
ignoto iɰˈno.to
privilegiar pɾi.βi.leˈxjaɾ
