aaronita a.a.ɾoˈni.ta
cabanga ka.ˈβaŋ.ga
cabecear ka.βe.seˈaɾ
cabecero ka.βeˈse.ɾo
cabeciduro ka.βe.siˈðu.ɾo
cabellera ka.βeˈʎe.ɾa
caber kaˈβeɾ
cabestro kaˈβes.tɾo
cabeza kaˈβe.sa
cabezada ka.beˈsa.ða
cabezaje ka.βeˈsa.xe
cabezazo ka.βeˈsa.so
cabezo kaˈβe.so
cabila kaˈβi.la
cabildante ka.βilˈdan̪.te
cabildo kaˈβil.do
cabizbajo ˌka.βisˈβa.xo
cablear ka.bleˈaɾ
cablegrafiar ka.βle.ɣɾaˈfjaɾ
cablegrama ka.bleˈgɾa.ma
cablero ka.ˈβle.ɾo
cabo ˈka.βo
cabotaje ka.βoˈta.xe
caboverdiano ˌka.βo.βeɾˈðja.no
cabrear ka.βɾeˈaɾ
cabreo kaˈβɾe.o
cabrero kaˈβɾe.ɾo
cabrestante ka.βɾesˈtan.te
cabria ˈka.βɾja
cabrina kaˈβɾi.na
cabriola ka.ˈβɾjo.la
cabrito kaˈβɾi.to
cabro ˈka.βɾo
cabronada ka.βɾoˈna.ða
cabuya kaˈβu.ʝa
caca ˈka.ka
cacahuate ka.kaˈwa.te
cacahuete ka.kaˈwe.te
cacao kaˈka.o
cacarear ka.ka.ɾe.ˈaɾ
cacareo ka.ka.ˈɾe.o
cacerola ka.seˈɾo.la
cacha ˈka.tʃa
cachaciento ka.ʧaˈsjen.t
cachafaz ka.tʃaˈfas
cachalote ka.ʈʃaˈlo.te
cacharro kaˈtʃa.ro
cachear ka.tʃeˈaɾ
cachetada ka.ʈʃeˈta.ða
cachimba kaˈtʃim.ba
cachimbo kaˈtʃim.bo
cachirulo ka.t͡ʃiˈɾu.lo
cachucha kaˈtʃu.tʃa
cachudo ka.ˈtʃu.ðo
cachurear ˌka.tʃu.ɾe.ˈaɾ
cachureo ka.tʃu.ˈɾe.o
cacique kaˈsi.ke
cacle ˈkak.le
caco ˈka.ko
cacorro kaˈko.ro
cadalso kaˈðal.so
cadaverina ka.ða.βeˈɾi.na
cadena kaˈðe.na
cadera kaˈðe.ɾa
cadete kaˈðe.te
caducar ka.ðuˈkaɾ
caducifolio ka.ðu.siˈfol.jo
cafetera ka.feˈte.ɾa
cafeto ka.ˈfe.to
cafre ˈka.fɾe
cagar kaˈɰaɾ
cagatintas ka.ɣaˈtin̪.tas
caigua ˈkaj.ɰwa
cairelar kaj.ɾeˈlaɾ
caite ˈkaj.te
cajera kaˈxe.ɾa
cajero kaˈxe.ɾo
cajeta ka.ˈxe.ta
cal ˈkal
calabaza ka.laˈβa.sa
calabazate ka.la.βaˈsa.te
calabobos ka.laˈβo.βos
calabozaje ka.la.βoˈsa.xe
calabrotar ka.la.βɾoˈtaɾ
calabrote ka.laˈβɾo.te
caladero ka.laˈðe.ɾo.
calafatear ka.la.fa.teˈaɾ
calamar ka.laˈmaɾ
calambur ka.lamˈbuɾ
calamidad ka.la.mi.ˈðað
calamina ka.laˈmi.na
calamitosamente ka.la.miˈto.saˈmen̪.te
calamorro ka.laˈmo.ro
calar kaˈlaɾ
calato kaˈla.to
calatravo ka.la.ˈtɾa.βo
calcar kalˈkaɾ
calceta kalˈse.ta
calcificar kal.̥si.fiˈkaɾ
calcio ˈkal.sjo
calco ˈkal.ko
calcografiar kal.ko.ɣɾaˈfjaɾ
calcular kal.kuˈlaɾ
calda ˈkal.da
caldense kalˈden.se
caldera kal.ˈde.ɾa
calderada kal.de.ˈɾa.ða
calderero kal.de.ˈɾe.ɾo
caldereta kal.de.ˈɾe.ta
calderilla kal.de.ˈɾi.ʎa
caldero kal.ˈde.ɾo
caldo ˈkal.ðo
calefactor ka.le.fakˈtoɾ
calendario ka.len̪ˈda.ɾjo
calentador ka.len.taˈðoɾ
calentamiento ka.len.taˈmjen.to
calentito ka.lenˈti.to
calesita ka.leˈsi.ta
caleta kaˈle.ta
calicanto ka.liˈkan.to
caliciforme kal.siˈfoɾ.me
calidad ka.liˈðað
caliente kaˈljen̪.te
califa kaˈli.fa
califato ka.liˈfa.to
calificar ka.li.fiˈkaɾ
calificativo ka.li.fi.kaˈti.βo
californio ka.liˈfoɾ.njo
caligrafiar ka.li.ɣɾaˈfjaɾ
caligrama ka.li.ˈgɾa.ma
calimba kaˈlim.ba
calimocho ka.liˈmo.tʃo
calina ka.ˈli.na
calinoso ka.liˈno.so
callejuela ka.ʝeˈxwe.la
calma ˈkal.ma
calmar kalˈmaɾ
calofriarse ka.loˈfɾjaɾ.se
calor kaˈloɾ
calorosamente ka.loˈɾo.saˈmen.te
calosfriarse ka.losˈfɾjaɾ.se
calumnia kaˈlum.nja
calumniosamente ka.lumˈnjo.saˈmen.t̪e
calurosamente ka.luˈɾo.saˈme n̪.te
calvero kalˈβe.ɾo
calvinismo kal.βiˈnis.mo
calvinista kal.βiˈnis.ta
camada ka.ˈma.ða
camal kaˈmal
camaldulense ka.mal.ðuˈlen.se
camalotal ka.ma.loˈtal
camanchaca ka.manˈtʃa.ka
camandulear ka.man̪.du.leˈaɾ
camandulense ka.man̪.duˈlen.se
camandulero ka.man̪.duˈle.ɾo
camanonca ka.maˈnon.ka
camarada ka.maˈɾa.ða
camaraje ka.maˈɾa.xe
camarero ka.maˈɾe.ɾo
camarico ka.maˈɾi.ko
camarista ka.maˈɾis.ta
camarlengo ka.maɾˈleŋ.go
camaronear ka.ma.ɾo.neˈaɾ
camaronero ka.ma.ɾoˈne.ɾo
camba ˈkam.ba
cambalache kam.baˈla.tʃe
cambalachero kam.ba.laˈtʃe.ɾo
cambalud kam.ba.ˈluð
cambar kamˈbaɾ
cambera kamˈbe.ra
cambiadizo kam.bjaˈði.so
cambiante kamˈbjan̪.te
cambista kaɱˈbis.ta
camboyano kam.bo.ˈʝa.no
cambronal kam.βɾoˈnal
cambronera kam.βɾoˈne.ɾa
cambuj kamˈbux
cambur kamˈbuɾ
camedrio kaˈme.ðɾjo
camelar ka.meˈlaɾ
camembert ˈka.mem.beɾt
camena kaˈme.na
camiar ka.ˈmjaɾ
camilla kaˈmi.ʎa
caminante ka.miˈnan̪.te
caminar ka.mi.ˈnaɾ
caminata ka.mi.ˈna.ta
camino kaˈmi.no
camioneta ka.mjo.ˈne.ta
camisa kaˈmi.sa
camita kaˈmi.ta
camote kaˈmo.te
campana kamˈpa.na
campanario kam.paˈna.ɾjo
campaniforme kam.pa.niˈfoɾ.me
campar kamˈpaɾ
campeador kam.peaˈðoɾ
campear kam.peˈaɾ
campechana kam.peˈtʃa.na
campechano kam.peˈtʃa.no
campeonato kam.pe.oˈna.to
campera kamˈpe.ɾa
campesino kam.pe.ˈsi.no
campestre kamˈpes.tɾe
campo ˈkam.po
can kaŋ
canadiense ka.naˈðjen.se
canal kaˈnal
canaleta ka.na.ˈle.ta
canalete ka.na.ˈle.te
canalizar ka.na.liˈsaɾ
canana kaˈna.na
canario ka ˈna rjo
canasta kaˈnas.ta
canchal kaɲˈtʃal
canchalagua kan.tʃaˈla.ɰwa
cancho ˈkaɲ.tʃo
candidatura kan.di.ðaˈtu.ɾa
candidez kan.diˈðes
candidiasis kan̪.diˈðja.sis
candombe kanˈdom.be
canela ka.ˈne.la
caney kaˈnej
cangalla kaŋˈga.ʎa
cangreja kaŋˈgɾe.xa
canguro kaŋ.ˈgu.ɾo
canibalismo ka.ŋi.βaˈlis.mo
canica kaˈni.ka
canina kaˈni.na
caninamente kaˈni.naˈmen̪.te
caninero ka.niˈne.ɾo
caninez ka.niˈnes
canino ka.ˈni.no
canistro kaˈnis.tɾo
canje ˈkan.xe
canjear kaŋ.xeˈaɾ
canmiar kanˈmjaɾ
cano ˈka.no
canoa kaˈno.a
canon ˈka.non
canonesa ka.noˈne.sa
canonical ka.no.niˈkal
canonicato ka.no.niˈka.to
canoso kaˈno.so
cansadamente kan.ˌsa.ða.ˈmen.te
cansancio kan.ˈsan.sjo
cansar kan.ˈsaɾ
cansera kan.ˈse.ɾa
cansino kan.ˈsi.no
canta ˈkan.ta
cantaleta kan̪.taˈle.ta
cantaletear kan̪.ta.le.teˈaɾ
cantante kan̪ˈtan̪.te
cantarela kan̪.taˈɾe.la
cantautor kan̪.tawˈtoɾ
cantimplora kan.timˈplo.ɾa
cantitativo kan.ti.taˈti.βo
cantizal kan̪.tiˈsal
cantonear kan̪.to.neˈaɾ
caoba kaˈo.βa
caos ˈka.os
capacete ka.paˈse.te
capacha kaˈpa.tʃa
capacidad ka.pa.siˈðað
capanga kaˈpaŋ.ga
capaz kaˈpas
capelina ka.peˈli.na
caperol ka.peˈɾol
capibara ka.piˈβa.ɾa
capilar ka.pí.ˈlaɾ
capilaridad ca.pi.la.ɾiˈðað
capital ka.pi.ˈtal
capitalismo ka.pi.ta.ˈlis.mo
capitel ka.pi.ˈtel
capitolio ka.piˈto.ljo
capnomancia kap.noˈman.sja
capo ˈka.po
capolar ka.po.laɾ
caporal ka.po.ˈɾal
capote kaˈpo.te
captor kap.ˈtoɾ
captura kap.ˈtu.ɾa
capturar kap.tuˈrar
capucha kaˈpu.tʃa
capullo kapuʎo
caquetense ka.keˈten.se
caquexia kaˈkek.sja
car kaɾ
caraba ka.ˈɾa.ba
carabela ka.ɾaˈβe.la
carabina ka.ɾaˈβi.na
carabinero ˌka.ɾa.βiˈne.ɾo
caracol ka.ɾa'kol
caracterizar ka.ɾak.te.ɾiˈsaɾ
caraja kaˈɾa.xa
carajo kaˈɾa.xo
caramba kaˈɾam.ba
carambanado ka.ɾam.baˈna.ðo
carambolear ka.ɾam.bo.leˈaɾ
carambolero ka.ɾam.boˈle.ɾo
carambolo ka.ɾamˈbo.lo
caramel ka.ɾaˈmel
caramelizar ka.ɾa.me.liˈsaɾ
caramelo ka.ɾaˈme.lo
caramida ka.ɾaˈmi.ða
caraos ka.ˈɾa.os
caravana ka.ɾaˈβa.na
caravanero ka.ɾa.βaˈne.ɾo
caray kaˈɾaj
carbonada kaɾ.βoˈna.ða
carbonar kaɾ.βoˈnaɾ
carbonatar kaɾ.βo.naˈtaɾ
carbonear kaɾ.βo.neˈaɾ
carbonero kaɾ.βoˈne.ɾo
carbonizar kaɾ.βo.ni.ˈsaɾ
carbono kaɾˈβo.no
carbunclo kaɾˈβuŋ.klo
carbunco kaɾˈbuŋ.ko
carburar kaɾ.βuˈɾaɾ
carca ʼkaɾka
carcaj kaɾˈkax
carcajear kaɾ.ka.xeˈaɾ
carcasa kaɾˈka.sa
carcavear kaɾ.ka.βeˈaɾ
carcinoma kaɾ.si.ˈno.ma
carcomer kaɾ.koˈmeɾ
carcunda kaɾʼkun̪.da
carda ˈkaɾ.ða
cardal kaɾˈðal
cardar kaɾˈðaɾ
cardiaca kaɾˈðja.ka
cardiaco kaɾˈðja.ko
cardias ˈkaɾ.ðjas
cardinal kaɾ.ðiˈnal
cardiovascular ˌkaɾ.ðjo.βas.ku.ˈlaɾ
cardumen kaɾˈðu.men
carduzar kaɾ.ðuˈsaɾ
carecer ka.ɾeˈseɾ
carena kaˈɾe.na
carenadura ka.ɾe.na.ˈðu.ɾa
carenar ka.ɾe.ˈnaɾ
carencia ka.ˈɾen.sja
carenero ka.ɾe.ˈne.ɾo
carente kaˈɾen̪.te
carey kaˈɾej
cargado kaɾˈɰa.ðo
cargador kaɾ.ɰaˈðoɾ
cargamento kaɾ.ɰaˈmen.to
cargar kaɾˈɣaɾ
cargosear kaɾ.ɰo.seˈaɾ
carguero kar.ˈge.ɾo
cariar kaˈɾjaɾ
caricatura ka.ɾi.kaˈtu.ɾa
caricaturar ka.ɾi.ka.tuˈɾaɾ
caricaturesco ka.ɾiˌka.tuˈɾes.ko
caricaturizar ˌka.ɾi.ka.tu.ɾiˈsaɾ
caricia kaˈɾi.sja
caridad ka.ɾiˈðað
caries ˈka.ɾjes
carioca kaˈɾjo.ka
cariocinesis ˌka.ɾjo.si.ˈne.sis
carisma kaˈɾis.ma
carlinga karˈliŋ.ga
carminativo kaɾ.mi.naˈti.βo
carnaval kaɾ.naˈβal
carnavalito kaɾ.na.βa.ˈli.to
carne ˈkaɾ.ne
carnerero kaɾ.ne.ˈɾe.ɾo
carnero kaɾˈne.ɾo
carnestolendas kaɾ.ˌnes.to.ˈlen.das
carnoso kaɾˈno.so
caro ˈka.ɾo
caroca kaˈɾo.ka
caromomia ka.ɾoˈmo.mja
carpanta kaɾˈpan.ta
carpeta kaɾ.ˈpe.ta
carpintero kaɾ.pin.ˈte.ɾo
carpo ˈkaɾ.po
carranca kaˈraŋ.ka
carrera kaˈre.ɾa
carrerista ka.re.ˈɾis.ta
carreta ka.ˈre.ta
carrete ka.ˈre.te
carretela ka.re.ˈte.la
carretera ka.reˈte.ɾa
carrizo kaˈri.so
carro ˈka.ro
carrusel ka.ru.ˈsel
carta ˈkaɾ.ta
carterista kaɾ.teˈɾis.ta
cartero kaɾˈte.ɾo
cartesiano kaɾ.teˈsja.no
carteta kaɾˈte.ta
cartivana kaɾ.tiˈβa.na
cartografiar kaɾ.to.ɣɾaˈfjaɾ
cartomancia kaɾ.toˈman.sja
cartucho kaɾˈtu.ʧo
cartujo kaɾ.ˈtu.xo
cartulina kaɾ.tu.ˈli.na
casabe kaˈsa.βe
casaca kaˈsa.ka
casadero ka.saˈðe.ɾo
casal kaˈsal
casalero ka.saˈle.ɾo
casalicio ka.saˈli.sjo
casamata ka.saˈma.ta
casamentero ka.sa.menˈte.ɾo
casamiento ka.saˈmjen.to
casamuro ka.saˈmu.ɾo
casar kaˈsaɾ
cascabel kas.kaˈβel
cascajal kas.kaˈxal
cascajar kas.kaˈxaɾ
cascajo kasˈka.xo
cascajuelo kas.ka.ˈxwe.lo.
cascar kas.ˈkaɾ
cascarrabias ˌkas.kaˈra.βjas
cascarria kasˈka.rja
cascatreguas ˌkas.kaˈtɾe.ɣwas
casco ˈkas.ko
casi ˈka.si
caso ˈka.so
casona kaˈso.na
caspa ˈkas.pa
casposo kasˈpo.so
casquijo kasˈki.xo
castellano kas.te.ˈʎa.no
casticismo kas.tiˈsis.mo
castidad kas.ti.ˈðað
castigadamente kas.ti.ɰa.ðaˈmen.te
castigadera kas.ti.ɰaˈðe.ɾa
castigar kas.tiˈɰaɾ
casting ˈkas.tiŋ
casto käs.to̞
castor kasˈtoɾ
castorcillo kas.toɾˈsi.ʝo
castradera kas.tɾaˈðe.ɾa
castrador kas.tɾaˈðoɾ
castradura kas.tɾaˈðu.ɾa
castrapuercos kas.tɾaˈpweɾ.kos
castrar kasˈtɾaɾ
casualidad ka.swa.liˈðað
casualismo ka.swa.ˈlis.mo
casuario ka.ˈswa.ɾjo
casuista ka.ˈswis.ta
casullero ka.suˈʎe.ɾo
cataclismo ka.ta.ˈklis.mo
catafalco ka.taˈfal.ko
catalanismo ka.ta.laˈnis.mo
catalejo ka.ta.ˈle.xo
catalpa ka.ˈtal.pa
catarro ka.ˈta.ro
catarsis ka.ˈtaɾ.sis
catastrofista ka.tas.tɾoˈfis.ta
catatipia ka.taˈti.pja
cataviento ka.taˈβjen̪.to
catavino ka.taˈβi.no
cateador ka.te.aˈðoɾ
catecumenado ka.te.ku.meˈna.ðo
caterva kaˈteɾ.βa
catete kaˈte.te
catimbao ka.timˈba.o
catinga kaˈtin.ga
catolicidad ka.to.li.siˈðað
catolicismo ka.to.liˈsis.mo
catorce ka.ˈtoɾ.se
catre ˈka.tɾe
caucano kawˈka.no
cauce ˈkaw.se
cauchal kawˈʧal
causal kawˈsal
causalidad ˌkaw.sa.liˈðað
causar kaw.ˈsaɾ
causear kaw.seˈaɾ
cautela kaw.ˈte.la
cauteloso kaw.teˈlo.so
cautivar kaw.tiˈβaɾ
cautividad kaw.ti.βiˈðað
cauto ˈkaw.to
cavar ka.ˈβaɾ
caverna kaˈβeɾ.na
cavero kaˈβe.ɾo
caveto  kaˈβe.to 
cavial kaˈβjal
caviar kaˈβjaɾ
cavicornio ka.βi.ˈkor.njo
cavidad ka.βiˈðað
cavilar ka.βiˈlaɾ
cavilosamente ka.βiˈlo.saˈmen̪.te
cavilosidad ka.βi.lo.siˈðað
caviloso ca.βiˈlo.so
cayo ˈka.ʝo
cayote kaˈʝo.te
cayuco ka.ˈʝu.ko
caz ˈkas
cazabe kaˈsa.βe
cazadero ka.saˈðe.ɾo
cazador ka.saˈðoɾ
cazo ˈka.so
ce se
cebador se.βaˈðoɾ
cebar seˈβaɾ
cebolla seˈβo.ʎa
cebra ˈse.βɾa
cebrado seˈβɾa.ðo
cebruno seˈβɾuno
cebuano se.βuˈa.no
cecear se.seˈaɾ
ceceo seˈse.o
cecina se'si.na
cedazo seˈða.so
ceder seˈðeɾ
cedrino seˈðɾi.no
cedro ˈse.ðɾo
cedulaje se.ðuˈla.xe
cedular se.ðuˈlaɾ
cedulario se.ðuˈla.ɾjo
cefalalgia se.fa.ˈlal.gja
cefalea se.fa.ˈle.a
cefalitis se.faˈli.tis
cefear se.feˈaɾ
cegajear se.ɣa.xeˈaɾ
ceguedad se.ɰeˈðað
cejar seˈxaɾ
cejilla seˈxi.ʎa
celada se.ˈla.ða
celadamente seˈla.ðaˈmen.te
celebrar se.leˈbɾaɾ
celebrero se.leˈβɾe.ɾo
celebridad se.le.βriˈðað
celeridad se.le.ɾiˈðas
celesta seˈles.ta
celeste seˈles.te
celestino se.lesˈti.na
celibato se.li'βa.to
cellisquear se.ʎis.keˈaɾ
celotipia se.loˈti.pja
celular se.lu.ˈlaɾ
celulitis se.luˈli.tis
celuloide se.lu.ˈloj.ðe
celulosa se.luˈlo.sa 
cementerio se.menˈte.ɾio
cementero se.menˈte.ɾo
cenagal se.naˈɣal
cenit seˈnit
cenobita se.no.ˈβi.ta
cenote seˈnoˌte
censo ˈsen.so
censurar sen.suˈɾaɾ
centauro sen.ˈtaw.ɾo
centilitro ˌsen.ti.ˈli.tɾo
central sen.ˈtɾal
centralismo sen.tɾaˈlis.mo
centro sen̪.tɾo
centroamericano ˌsen̪.tɾo.a.me.ɾiˈka.no
centuplicar sen̪.tu.pliˈkaɾ
centuria senˈtu.ɾja
ceo ˈse.o
cepa ˈse.pa
cepillo seˈpi.ʎo
cepo ˈse.po
cera ˈse.ɾa
cercandanza ser.kan̪ˈdan.sa
cercano seɾˈka.no
cercar seɾˈkaɾ
cercenar seɾ.se.ˈnaɾ
cerciorar seɾ.sjo.ˈɾaɾ
cerda ˈseɾ.ða
cerdo seɾ.ðo
cereal se.ɾeˈal
cerebelo se.ɾe.ˈβe.lo
cerebral se.ɾe.ˈβɾal
cerebro se.ˈɾe.βɾo
ceremonia se.ɾeˈmo.nja
cereza seˈɾe.sa
cernidillo seɾni.ˈði.ʎo
cero ˈse.ɾo
cerradura se.raˈðu.ɾa
cerrar seˈraɾ
cerrebojar se.re.βoˈxaɾ
cerril seˈril
certamen seɾˈta.men
certero seɾˈte.ɾo
certificar seɾ.ti.fiˈkaɾ
cervantesco seɾ.βan̪ˈtes.ko
cesante seˈsan̪.te
cesar seˈsaɾ
cesarismo se.saˈɾis.mo
cesio ˈse.sjo
cespitoso ses.piˈto.so
cesta ˈses.ta
cetrino seˈtɾi.no
cetro ˈse.tɾo
ch ˈtʃe
chabacano tʃa.βa.kaˈno
chabola tʃaˈβo.la
chacarero tʃa.kaˈɾe.ɾo
chacha ˈtɕa.tɕa
chacota tʃaˈko.ta
chacotear tʃa.ko.teˈaɾ
chacuaco tʃaˈkwa.ko
chafarote tʃa.faˈɾo.te
chaira ˈtʃsaj.ɾa
chal ˈtʃal
chala ˈtʃa.la
chalado t͡ʃaˈla.ðo
chalana tʃaˈla.na
chalar tʃa.ˈlaɾ
chale ˈʧa.le
chaleco tʃaˈle.ko
chalupa tʃa.ˈlu.pa
chamaco tʃaˈma.ko
chamagoso tʃa.maˈɰo.so
chamanto tʃaˈman.to
chambergo ʧamˈbeɾ.ɰo
chambonada tʃaɱ.boˈna.ða
chambonear tʃaɱ.bo.neˈaɾ
chambrana tʃamˈbɾa.na
champar tʃamˈpaɾ
champear tʃam.peˈaɾ
champola tʃamˈpo.la
champudo tʃamˈpu.ðo
champuz tʃamˈpus
chamuchina tʃa.muˈtʃi.na
chamullar tʃa.muˈʝaɾ
chamuscar ʧa.musˈkaɾ
chancaca tʃaŋ.ˈka.ka
chancar tʃaŋ.ˈkaɾ
chancha ˈtʃan.tʃa
chanchada ʧanˈʧa.ða
chancho ˈtʃaɲ.tʃo
chanchullo tʃaɲ.ˈtʃu.ʎo
chancla ˈtʃaŋ.kla
chancleta ʧaŋˈkle.ta
chancro ˈtʃan.kɾo
changle ˈtʃaŋ.gle
chango ˈtʃaŋ.go
chantaje tʃanˈta.xe
chanza ˈtʃan.sa
chao ˈtʃä.o
chapalear ʧa.pa.leˈaɾ
chapar tʃaˈpaɾ
chapela tʃa.ˈpe.la
chapero ʧaˈpe.ɾo
chapucero tʃa.puˈse.ɾo
chapuzar tʃa.pu.ˈsaɾ
chaqueta tʃa.ˈke.ta
chaqueteo tʃa.keˈte.o
chaquetero tʃa.ke.ˈte.ɾo
charada tʃaˈɾa.ða
charamusca ʧa.ɾaˈmus.ka
charanga ʧaˈɾaŋ.ɰa
charango tʃaˈɾaŋ.go
charco ˈʈʃaɾ.ko
charlar tʃaɾˈlaɾ
charlear tʃaɾ.leˈaɾ
charlotear tʃaɾ.lo.teˈaɾ
charnego tʃaɾˈne.ɰo
charnela t͡ʃaɾˈne.la
charol tʃaˈɾol
charquear tʃaɾ.keˈaɾ
charqui ˈtʃaɾ.ki
charrada ʧaˈra.ða
charral tʃaˈral
charrar t͡ʃaˈraɾ
charrasca tʃaˈras.ka
charretera tʃa.reˈte.ɾa
charro ˈtʃa.ro
chascarro tʃasˈkɑ.ro
chasis ˈtʃa.sis
chaspar tʃasˈpaɾ
chaspear tʃas.peˈaɾ
chasqui ˈtʃas.ki
chatarra tʃa.ˈta.ra
chatear tʃa.teˈar
chato ˈtʃa.to
chau ˈtʃa.u
chaucha ˈtʃaw.tʃa
chauchera tʃawˈtʃe.ɾa
chaval tʃaˈβal
chavea tʃaˈβe.a
chaveta ʧaˈβe.ta
che tʃe
checo ˈtʃe.ko
checoslovaco tʃe.kos.loˈβa.ko
chef ˈtɕef
chepa ˈtʃe.pa
cheposo tʃe.ˈpo.so
chepudo tʃeˈpu.ðo
cheque ˈt͡ʃe.ke
chequear t͡ʃe.keˈaɾ
cherriar tʃeˈrjaɾ
chiar tʃjaɾ
chibcha ˈtʃiβ.tʃa
chic ˈtʃik
chica ˈt∫i.ka
chicanear tʃi.ka.neˈaɾ
chicano tʃi.ˈka.no
chicharro t͡ʃiˈt͡ʃa.ro
chiche ˈtʃi.tʃe
chichero tʃiˈtʃe.ɾo
chichilasa tʃi.tʃiˈla.sa
chicle ˈtʃi.kle
chico ˈtʃi.ko
chicoco tʃiˈko.ko
chicolear tʃi.ko.leˈaɾ
chicoria tʃiˈko.ɾja
chicotear tʃi.ko.teˈaɾ
chifladera tʃi.fla.ˈðe.ɾa
chifladura tʃi.fla.ˈðu.ɾa
chiflato tʃi.ˈfla.to
chifle ˈtʃi.fle
chiflete tʃi.ˈfle.te
chiflido tʃi.ˈfli.ðo
chiflo ˈtʃi.flo
chilaba tʃi.ˈla.ba
chilango tʃiˈlaŋ.go
chilca ˈtʃil.ka
chile ˈtʃi.le
chilenismo ʧi.leˈnis.mo
chileno tʃiˈle.no
chimango tʃiˈmaŋ.go
chimar tʃi.ˈmaɾ
chimbo ˈʧim.bo
chimenea tʃi.meˈne.a
chinaco ʧiˈna.ko
chincheta tʃiɲ.ˈtʃe.ta
chinchilla tʃiɲ.ˈtʃi.ʝa
chinchorro tʃiɲ.ˈtʃo.ro
chinchoso ʧiɲˈʧo.so
chinchurria tʃinˈtʃu.rja
chincol tʃiŋˈkol
chinesco tʃiˈnes.ko
chingana tʃiŋˈga.na
chipe ˈtʃi.pe
chipichape tʃi.pi.ˈtʃa.pe
chipichipi tʃi.pi.tʃi.piˈ
chiquear tʃi.keˈaɾ
chiquero tʃiˈke.ɾo
chiquito t͡ʃiˈki.to
chiribital tʃi.ɾi.βiˈtal
chirigota tʃi.ɾiˈɰo.ta
chirimiri tʃi.ɾi.ˈmi.ɾi
chirimoyo tʃi.ɾi.ˈmo.ʝ o
chiripa tʃiˈɾi.pa
chiripazo tʃi.ɾiˈpa.so
chiripear tʃi.ɾi.peˈaɾ
chirivisco tʃi.ɾiˈβis.ko
chirlear tʃiɾ.leˈaɾ
chirrear tʃi.reˈaɾ
chirriar tʃiˈrjaɾ
chirrido tʃiˈri.ðo
chirusa tʃiˈɾu.sa
chiruza tʃiˈɾu.sa
chisguete tʃisˈɰe.te
chisme ˈtʃis.me
chispear tʃis.pe.ˈaɾ
chisporrotear tʃis.po.ro.teˈaɾ
chist ˈtʃist
chistar tʃisˈtaɾ
chiste ˈtʃis.te
chistera tʃisˈte.ɾa
chistorra tʃisˈto.ra
chistosamente tʃisˈto.saˈmen.te
chistoso tʃisˈto.so
chistu ʧi.stu
chito ˈtʃi.to
choapino tʃo a ˈpi.no
chocar ʧoˈkaɾ
chochear tʃo.tʃeˈaɾ
chochera tʃoˈtʃe.ɾa
chochez tʃoˈtʃes
choclo ˈtʃo.klo
choco ˈtʃo.ko
chocoano tʃoˈkwa.no
chocolate tʃo.koˈla.te
chocolatero tʃo.ko.laˈte.ɾo
chocolatina tʃo.ko.laˈti.na
cholero tʃoˈle.ɾo
cholga ˈtʃol.ɰa
cholo ˈʧo.lo
chomba ˈtʃom.ba
chombo ˈtʃom.bo
chompa ˈtʃom.pa
chongo ˈtʃoŋ.go
chopazo tʃoˈpa.so
chope ˈtʃo.pe
chopera tʃoˈpe.ɾa
chorear tʃo.ɾeˈaɾ
choroy tʃo.ˈɾoj
chota ˈtʃo.ta
chotacabras tʃo.taˈka.βɾas
chotar ʧoˈtaɾ
chotear tʃo.teˈaɾ
chotis ˈtʃo.tis
choto ˈʧo.to
chovinismo tʃo.βiˈnis.mo
chozno ˈtʃos.no
chubasco tʃuˈβas.ko
chubasquero tʃu.βasˈke.ɾo
chuca ˈtʃu.ka
chucha ˈtʃu.tʃa
chuchoca tʃuˈtʃo.ka
chueco ˈtʃwe.ko
chufa ˈtʃu.fa
chufeta t͡ʃuˈfe.ta
chuico ˈtʃwi.ko
chulesco tʃuˈles.ko
chuleta tʃu.ˈle.ta
chulo ˈtʃu.lo
chumacera tʃu.maˈse.ɾa
chumbimba tʃumˈbim.ba
chumbimbo tʃum.ˈbim.bo
chumpipe tʃumˈpi.pe
chunchules tʃunˈtʃu.les
chungo ˈtʃuŋ.go
chupar tʃuˈpaɾ
chupatintas tʃu.paˈtin̩.tas
chupilca tʃu.ˈpil.ka
churana tʃuˈɾa.na
churo ˈʧu.ɾo
churrascar ˌtʃu.rus.ˈkaɾ
churrasco tʃuˈras.ko
churrasquear tʃu.rasˈke.aɾ
churriento ʧuˈrjen.to
churruscar ˌtʃu.rus.ˈkaɾ
churumbel tʃu.ɾumˈbel
chuscamente ˈtʃus.kaˈmen̪.te
chusco ˈt​ʃus.ko
chuspa ˈtʃus.pa
chusquero tʃusˈke.ɾo
chute ˈtʃu.te
chuza ˈtʃu.sa
cian siˈan
cianuro sja.ˈnu.ɾo
ciar sjaɾ 
cibal  siˈβal 
ciborio siˈβo.ɾjo
cicatriz si.kaˈtɾiz
cicerone si.se.ˈɾo.ne
ciclotimia si.klo.ˈti.mja
cid ˈsið
cidra ˈsi.ðɾa
cidro ˈsi.ðɾo
ciego ˈsje.go
cielo sje.lo
cien ˈsjen
cieno ˈsje.no
ciente ˈsjen.te
ciento ˈsjen.to
cierna ˈsjeɾ.na
cierne ˈsjeɾ.ne
cierva ˈsjer βa
cierzo ˈsjeɾ.so
cifra ˈsi.fɾa
cifrar siˈfɾaɾ
