aaronita a.a.4o"ni.ta
anclaje aN"kla.xe
anclear aN.kle"a4
anclote aN"klo.te
anconada aN.ko"na.Da
ancorel aN.ko"4el
ancorero aN.ko"4e.4o
andador an.da"Do4
andadura aN.Da"Du.4a
andaluz an.da"lus
andamio an."da.mjo
andancio aN "daN sjo
andantesco an.dan"tes.ko
andanza an_d"dan.sa
andar an"da4
andaraje an.da"4a.xe
andesina an.de"si.na
andesita an.de'si.ta
andino an"di.no
andorrear an_d.do.re"a4
andrina aN"D4i.na
androfobia an.d4o"fo.Bja
andropausia an.d4o."paw.sja
aneblar a.ne"Bla4
anegamiento a.ne.Ga"mjen_d.to
anegar a.ne"M\a4
anejar a.ne"xar
anemia a"ne.mja
anestesiar a.nes.te"sja4
aneurisma a.new"4is.ma
anexar a.ne"ksar
anfibio aF"fi.bjo
anfibolita aF.fi.Bo"li.ta
anfractuosidad an.frak.two.si"DaD
anfractuoso an.f4ak"two.so
angelino aN.xe"li.no
angelizar aN.xe.li"sa4
angina an"xi.na
anglesita an.Gle"si.ta
anglicanismo aN.gli.ka"nis.mo
anglicismo aN.gli"sis.mo
angloamericanismo %aN.glo.a.me.4i.ka"nis.mo
angloamericano %aN.glo.a.me.4i"ka.no
anglofobia aN.glo"fo.Bja
anglohablante aN.glo.a"Blan_d.te
angloparlante aN.glo.pa4"lan_d.te
angostamente aN.Gos"tu.4a
angostamiento aN.Gos.ta"mjen_d.to
angostar aN.gos"ta4
anguila aN."gi.la
angurria aN"M\u.rja
angurriento aN.M\u"rjen.to
angustiar aN.gus"tjar
anhelar a.ne"la4
anhidro a"ni.D4o
anidar a.ni"Da4
anidiar a.ni"dja4
anieblar a.nje"Bla4
aniejar a.nje"xa4
anihilamiento a.ni.i.la"mjen_d.to
anihilar a.ni.i"la4
animal a.ni."mal
animalada a.ni.ma."la.Da
animar a.ni"ma4
animismo a.ni."mis.mo
animizar a.ni.mi"sa4
aniquilamiento a.ni.ki.la"mjen_d.to
anivelar a.ni.Be"la4
aniversario a.ni.Be4"sa.4jo
ano "a.no
anoche a"no.t`Se
anochecer a.no.tSe"se4
anodino a.no"Di.no
anomia a."no.mja
anonadamiento a.no.na.Da"mjien_d.to
anorexia a.no"4ek.sja
anormal a.no4"mal
anotar a.no"ta4
anoticiar a.no.ti"sja4
anquear aN.ke"a4
ansiar an"sja4
ansiedad an.sje"DaD
ansioso an"sjo.so
antagonismo an.ta.M\o"nis.mo
antarca an_d"ta4.ka
antarquear an_d.ta4.ke"a4
anteanteayer an_d.tjan_d.te.a"j\e4
anteantier an_d.tjan_d"tje4
anteayer an_d.te.a"j\e4
antecuarto an_d.te"kwa4.to
antedicho an_d.te"Di.tSo
antemano an_d.te"ma.no
antemeridiano %an.te.me.4i"Dja.no
anteojo an_d.te"o.xo
antepalco an.te"pal.ko
anteponer an_d.te.po"ne4
antequino  an.te"ki.no 
anterior an.te"4jo4
anterioridad an.te.4jo.4i"DaD
anteriormente an_d.te"4jo4"men_d.te
antes "an_d.tes
antesala an_d.te"sa.la
antevedimiento an_d.te.Be.Di"mjen_d.to
antibiograma %an.ti.Bio."M\4a.ma
anticlinal an.ti.kli"nal
anticongelante an_d.ti.koN.xe"lan_d.te
anticresis an.ti"k4e.sis
anticresista an.ti.k4e"sis.ta
anticristo an.ti"k4is.to
anticuario an.ti"kwa.4jo
anticuerpo an.t."kwe4.po
antidroga an_d.ti"d4o.Ga
antier an_d"tje4
antifaz an.ti."fas
antiguo an_d"ti.Gwo
antiimperialismo %an_d.tim.pe.4ja"lis.mo
antilogaritmo an_d.ti.lo.Ga"4iD.mo
antimonio an_d.ti"mo.Jjo
antinatural an_d.ti.na.tu"4al
antioxidante an_d.ti.o.ksi"dan_d.te
antipapa an_d.ti"pa.pa
antiparasitario an_d.ti.pa.4a.si"ta.4jo
antiquismo an.ti"kis.mo
antisepsia %an.ti."sep.sja
antistrofa an.tis"t4o.fa
antitoxina an.ti.tok."si.na
antofilo an_d.to"fi.lo
antojo an_^"to.xo
antorcha an"to4.t`Sa
antracosis an.t4a."ko.sis
antro "an.t4o
antropocentrismo an.t4o.po.sen"t4is.mo
antropofagia an.t4o.po"fa.xja
antropoide an.t4o."poj.De
antuvio an"tu.Bjo
anual a"nwal
anualmente a"nwal"men_d.te
anuario a"nwa.4jo
anudar a.nu"Da4
anunciar a.nun."sja4
anuncio a"nun.sjo
anzoatiguense an.so.a.ti"Gen.se
aorta a."o4.ta
aortitis a.o4."ti.tis
apa "a.pa
apacibilidad a.pa.si.Bi.li"DaD
apacible a.pa"si.Ble
apaciblemente a.pa"si.Ble"men_d.te
apagar a.pa"Ga4
apalancar a.pa.laN"ka4
apancle a."paN.kle
apaniguar a.pa.ni"Gwa4
apantle a."pan.tle
apapachar a.pa.pa"tSa4
aparador a.pa.4a"Do4
aparatar a.pa.4a"ta4
aparato a.pa"4a.to
aparatoso a.pa.4a"to.so
aparcar a.pa4"ka4
aparcero a.pa4"se.4o
apareamiento a.pa.4e.a"mjen_d.to
aparecer a.pa.4e"se4
aparejo a.pa"4e.xo
aparencial a.pa.4en"sjal
aparentador a.pa.4en_d.ta"Do4
aparentar a.pa.4en_d"ta4
aparentemente a.pa.%4en.te."men.te
apariencia a.pa"4jen.sja
aparrar a.pa"ra4
aparroquiar a.pa.ro"kja4
apartadamente a.pa4"ta.Da"men.te
apartadero a.pa4.ta"De.4o
apartadijo a.pa4.ta"Di.xo
apartador a.pa4.ta"Do4
apartamiento a.pa4.ta"mjen.to
apartar a.pa4"ta4
apartheid @"pA:teIt
aparvar a.par"Bar
apasionante a.pa.sjo"nan_d.te
apasionar a.pa.sjo"na4
apastragarse a.pas.t4a"Ga4.se
apedrear a.pe.d4e"a4
apegar a.pe"Ga4
apellido a.pe."ʎi.Do
apenar a.pe"na4
apencar a.peN."ka4
apendejar a.pen_d.de"xa4
apendicitis a.pen.di."si.tis
apepsia a"pep.sja
aperitivo a.pe.4i"ti.Bo
apero a"pe.4o
aperrear a.pe.re.a4
apertura a.pe4"tu.4a
apesarar a.pe.sa"4a4
apetecer a.pe.te"se4
apetencia a.pe"ten.sja
apetito a.pe"ti.to
api "a.pi
apical a.pi"kal
apicultor a.pi.kul."to4
apio "a.pjo
apiolar a.pjo"la4
aplacar a.pla"ka4
aplacer a.pla"se4
aplacible a.pla"si.Ble
aplastar a.plas"ta4
aplazar a.pla"sa4
aplebeyar a.ple.Be"j\a4
aplicar a.pli"ka4
apnea ap."ne.a
apocadamente a.po"ka.Da"men_d.te
apocar a.po"ka4
apocopar a.po.ko"pa4
apogeo a.po"xe.o
apoliticismo a.po.li.ti"sis.mo
apologista a.po.lo"xis.ta
apologizar a.po.lo.xi"sar
aporcadura a.po4.ka"Du.4a
aporrear a.po.re"a4
aposta a"pos.ta
apostadamente a.pos"ta.Da"men.te
apostadero a.pos.ta"De.4o
apostatar a.pos.ta"ta4
apotema a.po."te.ma
apoteosis a.po.te"o.sis
apoyo a."po.jo
aprecio a"p4e.sjo
aprendedor a.p4en_d.de"Do4
aprender a.p4en_d"de4
aprendiz a.p4en"dis
apresto a"p4es.to
apretar a.p4e"ta4
aprisionar a.p4i.sjo"na4
aprobar a.p4o"Ba4
aprodar a.p4o"Da4
apropiar a.p4o.pi"a4
aprovechar a.p4o.Be"ʧa4
aprovisionar a.p4o.Bi.sjo"na4
aproximadamente a.p4ok.si%ma.Da"men.te
aproximado a.p4ok.si"ma.Do
aproximar a.p4ok.si"ma4
aptamente "ap.ta"men_d.te
aptitud ap.ti."tuD
apto "ap.to
apuesta a"pwes.ta
apuestamente a"pwes.ta"men.te
apuracabos a.pu.4a"ka.Bos
apuradamente a.pu"4a.Da"men.te
apuradero a.pu.4a"De.4o
apurador a.pu.4a"Do4
apuramiento a.pu.4a"mjen.to
apurar a.pu"4a4
apurativo a.pu.4a"ti.Bo
aquejar a.ke"xa4
aquejoso a.ke"xo.so
aquel a"kel
aquelarre a.ke"la.re
aquende a"keN.De
aqueste a'kes.te
aquiescencia a.ki.es"sen.sja
aquietar a.kje"ta4
aquilino a.ki"li.no
arabesco a.4a"Bes.ko
arabio a"4a.Bjo
aracnoides a.4ak.noj.des
arador a.4a."Do4
arambol a.4am"bol
arameo a.4a"me.o
arancel a.4an"sel
arar a."4a4
araucaria a.4aw"ka.4ja
arbitrariamente a4.Bi"t4a.4ja"men_d.te
arbitrariedad a4.Bi.t4a.4je"DaD
arbitrario a4.Bi"t4a.4jo
arboladura a4.Bo.la"Du.4a
arbolar a4.Bo"la4
arboleda a4.Bo"le.Da
arboledo a4.Bo"le.Do
arborescente a4.Bo.4es"sen.te
arborizar a4.bo.4i."sa4
arbusto a4"Bus.to
arca "a4.ka
arcaico a4"kaj.ko
arce "a4.se
arco "a4.ko
arconte a4"kon.te
arda "a4.Da
ardid a4"DiD
ardido a4"Di.Do
ardiente a4"Djen_^.te
arduo "a4.Dwo
areito a."4ej.to
arel a"4el
arelar a.4e"la4
arena a"4e.na
arencar a.4eN."ka4
arenoso a.4e"no.so
arepa a"4e.pa
arete a."4e.te
aretino a.4e."ti.no
arfada a4"fa.Da
arfar a4"fa4
argadillo a4.M\a"di.ʎo
argavieso %a4.Ga"Bje.so
argel a4."xel
argemone a4.xe"mo.ne
argentar a4.xen_d̍"ta4
argentinidad a4.Gen_d.ti.ni"DaD
argentinismo a4.xen_d.ti"nis.mo
argentino a4.xen_d"ti.no
argentpel a4.xen."pel
argolla a4"go.ʎa
aridecer a.4i.De"se4
arista a."4is.ta
aristocracia a.4is.to"k4a.sja
aritenoides a.4i.te."noj.Des
arlo "a4.lo
arlote ar ´lo te
armada ar."ma.da
armador a4.ma"Do4
armadura a4.ma"Du.4a
armar a4"ma4
armario a4"ma.4jo
armella a4"me.ʎa
armenio ar."me.njo
armilla a4"mi.ʎa
armoniosamente a4.mo"njo.sa"men_d.te
armonioso a4.mo"njo.so
armonizar a4.mo.ni"sa4
aro "a.4o
aromar a.4o"ma4
aromoso a.4o"mo.so
arquetipo a4.ke"ti.po
arquimesa a4.ki"me.sa
arquitectura a4.ki.tek"tu.4a
arquitrabe a4.ki"t4a.Be
arracimarse a.ra.si"ma4.se
arrancapinos a%raN.ka"pi.nos
arrancar a.raN"ka4
arrasadura a.ra.sa"Du.4a
arrasar a.ra"sa4
arre "a.re
arrear a.re."ar
arrecho a"re.t͡So
arrecir a.re"si4
arredrar a.re."D4a4
arreglada a.re"Gla.Da
arregladamente a.re"M\la.Da"men.te
arreglar a.re"M\la4
arremangar a.re.maN"ga4
arremeter a.re.me."te4
arrempujar a.rem.pu"xa4
arrendamiento a.ren.da"mjen.to
arrendatario a.ren_d.da"ta.4jo
arrepanchigarse a.re.paJ.tSi"Ga4.se
arrepentirse a.re.pen_d"ti4.se
arrepistar a.re.pis"ta4
arrepisto a.re"pis.to
arrepticio a.rep"ti.sjo
arrequesonarse a.re.ke.so"na4.se
arrequife a.re"ki.fe
arrequive a.re"ki.Be
arrestar a.res"ta4
arresto a"res.to
arriacense a.rja."sen.se
arriba a"ri.Ba
arribar a.ri"Ba4
arribista arri"bis.ta
arribo a"ri.Bo
arriendo a"rjen.do
arriero a"rje.4o
arrigirse a.ri"xi4.se
arrimar a.ri"ma4
arriostrar a.rjos"t4a4
arriscador a.ris.ka"Do4
arriscar a"ris.ka4
arrisco a"ris.ko
arritmia a."rit.mja
arritranca a.ri"t4aN.ka
arrobar a.ro"Ba4
arrocero a.ro"se.4o
arrodajarse a.ro.Da"xa4.se
arropamiento a.ro.pa"mjen_d.to
arroyo a"ro.j\o
arroz a"ros
arrufo a’ru.fo
arrugable a.ru"Ga.Ble
arrugamiento a.ru.Ga"mjen_d.to
arrugar a.ru"Ga4
arruinar a.rui."na4
arrumbar a.rum"Ba4
arsenal a4.se"nal
artefacto a4.te"fak.to
arteria a4."te.4ja
arterial a4.te."4jal
arteriola a4.te."4jo.la
arteriosclerosis a4.te.4jos.kle."4o.sis
arterioso a4.te."4jo.so
arteritis a4.te."4i.tis
artesano a4.te"sa.no
artesonado a4.te.so"na.Do
artificial a4.ti.fi."sjal
artificiar a4.ti.fi"sja4
artista a4"tis.ta
artizar a4.ti"sa4
arto "a4.to
artralgia a4"t4al.xja
artritis a4"t4i.tis
artrosis a4"t4o.sis
aruspicina a.4us.pi"si.na
arveja a4"Be.xa
arzobispado a4.so.Bis"pa.Do
arzobispo a4.so"Bis.po
asalto a."sal.to
asamblea a.sam."ble.a
asaz a"sas
asbestosis as.bes."to.sis
ascendiente as.sen."djen.te
ascensional as.sen.sjo"nal
ascenso a"sen.so
ascensor a.sen"so4
ascetismo as.se"tis.mo
ascua "as.kwa
asedio a"se.Djo
asegurar a.se.Gu"4a4
aseidad a.sej"DaD
asemejar a.se.me"xa4
asenderear a.sen.De.re"ar
asenso a"sen.so
asentar a.sen_d"ta4
asentimiento a.sen_d.ti"mjen_d.to
asentir a.sen_d"ti4
asepsia a."sep.sja
asequible a.se"ki.Ble
aserenar a.se.4e"na4
aserradero a.se.ra"De.4o
aserradizo se.ra"Di.so
aserrador a.se.ra"Do4
aserradura a.se.ra"Du.4a
aserrar a.se"ra4
asertivo a.se4"ti.Bo
asertor a.se4"to4
asertorio a.se4"to.4jo
asesar a.se"sa4
asesinar a.se.si."na4
asesinato a.se.si"na.to
asexual a.sek"swal
asfixia as"fik.sja
asiduo a"si.Dwo
asilo a"si.lo
asimismo a.si"mis.mo
asir a"si4
asistencia a.sis."ten.sja
asistenta em.ple"a.Da
asistente a.sis"ten_d.te
asistir a.sis"ti4
asma "as.ma
asmadamente as"ma.Da"men.te
asmadero as.ma"De.4o
asmamiento as.ma"mjen.to
asnada as.na.Da
asno "as.no
asolador a.so.la"Do4
asolamiento a.so.la"mjen_d.to
asolapar a.so.la"pa4
asombroso a.som"b4o.so
asonada a.so."na.Da
asonante a.so"nan_d.te
aspa "as.pa
aspaventar espaven"tar
aspaviento as.pa"bjen.to
aspecto as"pek.to
asperger as.per."xer
asperura as.pe"4u.4a
aspirar as.pi"4a4
aspirina as.pi"4i.na
asqueroso as.ke"4o.so
asquiento as"kjen_d.to
asta as."ta
asterisco as.te"4is.ko
asterismo as.te."4is.mo
astigmatismo as.tiM\.ma"tis.mo
astil as"til
astringente as.t4iN."xen_d.te
astringir as.t4iN"xi4
astrocito as.t4o"si.to
astronauta as.t4o"naw.ta
astronave as.t4o"na.Be
astucia as."tu.sja
asturiano as.tu"4ja.no
astuto as"tu.to
asulcar a.sul"ka4
asumir a.su"mi4
asuntillo a.sun"ti.ʎo
asunto a"sun.to
asurcar a.su4"ka4
asuso a"su.so
asustadizo a.sus.ta"Di.so
asustar a.sus"ta4
asutilar a.su.ti"la4
atabladera a.ta.Bla"De.ra
atablar a.ta"Blar
atacar a.ta"ka4
atajar a.ta"Xa4
ataracear a.ta.4a.se"a4
atarantamiento a.ta.%4an.ta."mjen.to
atarantar a.ta.4an."ta4
atarazana a.ta4a"sa.na
ataurique a.taw"4i.ke
ataviar a.ta"Bja4
atembar a.tem"ba4
atemorizar a.te.mo.4i"sa4
atenazar a.te.na"sa4
ateneo a.te."neo
atenuador a.te.nwa"Do4
atenuante a.te"nwan_d.te
atenuar a.te"nwa4
ateo a."te.o
aterecer a.te.4e"se4
aterir a.te"4i4
ateroma a.te."4o.ma
aterosclerosis a.te.4os.kle."4o.sis
aterrorizar a.te.ro.4i"sa4
atesar a.te"sa4
atestiguar a.tes.ti"M\wa4
atiesar a.tje"sa4
atigrado a.ti"M\4a.Do
atisbar a.tis"Ba4
atizacandiles a%ti.sa.kan_d"di.les
atizadero a.ti.sa"De.4o
atizador a.ti.sa"Do4
atizar a.ti."sa4
atizonar a.ti.so"na4
atletismo a.tle"tis.mo
atmosfera at.mos"fe.4a
atomizar a.to.mi"sa4
atontar a.ton_d"ta4
atontecer a.ton_d.te"se4
atoramiento a.to.4a"mien_d.to
atorrante a.to"ran.te
atracar a.t4a.ka4
atraer a.t4a"e4
atrancar a.t4aN"ka4
atrapar a.t4a"pa4
atrasar a.t4a"sa4
atraso a"t4a.so
atravesador a.t4a.Be.sa"Do4
atravesar a.t4a.Be"sa4
atresnalar a.t4es.na"la4
atrevencia a.t4e"Ben.sja
atrever a.t4e"Be4
atrevimiento a.t4e.Bi"mjen_d.to
atrezo a"t4e.so
atributo a.t4i"Bu.to
atril a"t4il
atrincar a.t4iN."ka4
atrofiar a.t4o"fja4
atropelladamente a.t4o.pe"j\a.Da.men_d.te
atroz a"t4o.ses
audacia aw"Da.sja
audaz aw"Das
audibilidad aw.Di.Bi.li"DaD
audiencia aw"Djen.sja
audiovisual %aw.Djo.Bi."swal
auditivo aw.Di"ti.Bo
aula "aw.la
aulaga aw"la.Ga
aulagar aw.la"Ga4
aumentar aw.men"ta4
aumentativo %aw.men_d.ta"ti.Bo
aun "awn
aunamiento a.u.na"mjen.to
aunque "awN.ke
auriense aw."rjen.se
austral aws"t4al
austriaco aws"t4ja.ko
autenticar aw%ten.ti."ka4
autenticidad aw.ten.ti.si"DaD
autentificar au_^ten̦tifi"kar
autobombo aw.to."Bom.bo
autoestima aw.to.es"ti.ma
autoestop aw.to.es"top
autoestopista aw.to.es.to"pis.ta
autografiar aw.to.G4a"fja4
automotriz au.to.mo."t4is
autopiloto aw.to.pi"lo.to
autopsia aw"top.sja
autor aw"to4
autoridad aw.to.4i"DaD
autorizar au.to.ri"sar
autostop aw.tos"top
autostopista aw.tos.to"pis.ta
autosuficiencia %aw.to.su.fi"sjen_d.sja
autosuficiente %aw.to.su.fi"sjen_d.te
auxiliador aw.ksi.lja"Do4
auxilio aw"ksi.ljo
auyama aw"j\a.ma
aval a"Bal
avalador a.Ba.la"Dor
avalar a.Ba"la4
avaliar a.Ba"lia4
avalista a.Ba"lis.ta
avalorar a.Ba.lo"rar
avaluar a.Ba"lwar
avance a"Ban.se
avariento a.Ba"4jen.to
avatar a.Ba."ta4
ave "a.Be
avejentar a.Be.xen_d"ta4
avellano a.Be"ʎa.no
avena a."Be.na
avenido a.Be"ni.Do
aventura a.Ben"tu.4a
avergonzar a.Be4.Gon"sa4
averiar a.Be"4ja4
averiguar a.Be.4i"M\wa4
avestruz a.Bes"trus
avetado a.be"ta.Do
avezar a.Be"sa4
aviador a.Bja"Do4
aviar a"Bja4
aviario a"Bja.4jo
aviejar a.Bje"xa4
avieso a"Bje.so
aviso a."Bi.so
avocar a.Bo"ka4
axila ak."si.la
axioma ak"sjo.ma
ay "aj
ayo "a.j\o
ayote a."j\o.te
ayudado a.ju"Da.Do
ayudador a.j\u.Da"Do4
ayudamiento a.j\u.Da"mjen.to
ayudar a.j\u"Da4
ayunar a.j\u"na4
ayuntamiento a.j\un.ta"mjen.to
azabachado a.sa.Ba"tSa.Do
azabache a.sa"Ba.tSe
azada a."sa.Da
azafata a.sa"fa.ta
azafate a.sa"fa.te
azagar a.sa"Ga4
azahar a.sa"a4
azar a"sa4
azarar a.sa"4a4
azaroso a.sa"4o.so
azerbaiyano a.ser.B_oa."ja.no
azimut a.si"mut
azimutal a.si.mu"tal
azoemia a.so"e.mja
azogar a.so"Ga4
azorar a.so"4a4
azotea a.so"te.a
azteca as"te.ka
azuela a."swe.la
azufre a"su.f4e
azul a"sul
azulaque a.su"la.ke
azumbre a"sum.b4e
azurita a.su"4i.ta
azuzar a.su"sa4
b be
baalita ba.a"li.ta
babada ba."Ba.Da
babatel ba.Ba"tel
babaza ba."Ba.sa
babazorro ba.Ba"so.ro
babear ba.Be"a4
babel ba"Bel
babera ba"Be.4a
babero ba."Be.ro
baberol ba.Be."4ol
babieca ba."Bje.ka
babilar ba.Bi"la4
babilonia ba.Bi."lo.nja
babilonio ba.Bi"lo.njo
babirusa ba.Bi"4u.sa
babismo ba."Bis.mo
babor ba."Bor
babosada ba.Bo"sa.Da
baboseo Ba.Bo."se.o
baboso ba"Bo.so
babucha ba."Bu.tSa
babuino ba"Bwi.no
baca "ba.ka
bacada ba"ka.Da
bacalao ba.ka"la.o
bacante ba."kan.te
baceta ba"se.ta
bachata ba"t∫a.ta
bachatero ba.t∫a"te.4o
bachicha ba"tSi.tSa
bachiller ba.tSi"ʎe4
bachillerato ba.tSi.ʎe"4a.to_o
bacilo ba"si.lo
bacina ba"si.na
bacineta ba.si"ne.ta
bacinete ba.si"ne.te
bacinica ba.si"ni.ka
bacteria bak"te.4ja
bacteriano bak.te."4ja.no
bada "ba.Da
badajo ba"Da.xo
badana ba"Da.na
badelico ba.De"li.ko
baderna ba"De4.na
bafle "ba.fle
bagaje ba."M\a.xe
bagatela ba.M\a"te.la
bagre "ba.M\4e
baifo "baj.fo
bailador baj.la"Do4
bailar baj"lar
bailotear baj.lo.te"a4
bajamar ba.xa."ma4
bajamente "ba.xa"men_d.te
bajar ba"Xa4
bajareque ba.xa"4e.ke
bajel ba"xel
bala "ba.la
balacera ba.la."se.4a
baladro ba"la.D4o
balaj ba"lax
balaje ba"la.xe
balalaica ba.la"laj.ka
balance ba"lan.se
balanceador ba.lan.se.a"Do4
balancear ba.lan.se"a4
balanceo ba.lan"se.o
balanza ba"lan.sa
balar ba"la4
balasto ba"las.to
balate ba"la"te
balaustre ba."laus.t4e
balay ba"laj
balazo ba"la.so
balcarrotas bal.ka"ro.tas
balconada bal.ko"na.Da
balconear bal.ko.ne"a4
baldaquino bal.Da"ki.no
balde "bal.De
baldosa bal"do.sa
baleo ba"le.o
balido ba"li.Do
balizamiento ba.li.sa"mjen_d.to
ballena ba"ʎe.na
ballesta ba"ʎes.ta
ballet ba"le
baloncesto %ba.lon"ses.to
balsadera bal.sa."d_de.4a
balsadero bal.sa."d_de.4o
balsamera bal.sa"me.4a
balsamerita bal.sa.me"4i.ta
balsar bal"sa4
balsero bal"se.ro
baluarte ba"lwa4.te
baluma ba"lu.ma
balumba ba"lum.ba
balumbo ba"lum.bo
bambuc bam"buk
bambuco bam"bu.ko
banal ba"nal
banana ba"na.na
bananero ba.na"ne.4o
banano ba"na.no
bancario ban"ka.4jo
bancarrota baN.ka"ro.ta
banco "baN.ko
bancocracia baN.ko"k4a.sja
bandeado ban.de.a"Do
bandeja ban"de.xa
banderizar Ban.de.4i"sa4
bandidaje ban.di"Da.xe
bandolerismo ban.do.le"4is.mo
bandolero ban.do"le.4o
bandullo ban"du.ʎo
bandurria ban"du.rja
banquete baN"ke.te
banquina baN"ki.na
bao "ba.o
baobab ba.o"BaB
baqueano ba.ke."ano
baqueta ba"ke.ta
baraja ba"4a.xa
baranda ba"4an.da
barangay ba.4aN"Gaj
baratamente ba"4a.ta"men_d.te
barba "ba4.ba
barbacoa ba4.Ba"ko.a
barbarie ba4"Ba 4je
barbarismo ba4.Ba"4is.mo
barbastrense ba4.Bas"t4en.se
barbastrino ba4.Bas"t4i.no
barbecho ba4"Be.tSo
barbicano ba4.Bi"ka.no
barbote ba4."Bo.te
barbudo bar"BuDo
barca "ba4.ka
barcarola ba4.ka"4o.la
barcaza ba4."ka.sa
barco "ba4.ko
bardal bar"dal
bardana ba4"Da.na
baremo ba"4e.mo
bario "ba.4jo
barita ba"4i.ta
baritina ba.4i"ti.na
barjuleta bar.xu_>le.ta
barnizar bar.ni."sar
baro "ba.4o
barquisimetano ba4.ki.si.me"ta.no
barra "ba.ra
barraca ba."ra.ka
barrar ba"ra4
barrena ba"re.na
barretina ba.r_Me."ti.na
barricada ba.ri"ka.Da
barriga ba"ri.Ga
barrio "ba.rjo
barrote ba"ro.te
barruntar Ba.run.ta4
bartolear ba4.to"lea4
barza "ba4.sa
basa "ba.sa
basar ba."sa4
basilar ba.si"la4
basiliense ba.si"ljen.se
basilio ba.si"ljo
basna "bas.na
bastaje bas"ta.xe
bastantear bas.tan.te"a4
bastantemente bas"tan.te"men_d.te
bastardo bas"ta4.Do
bastecer bas.te"se4
bastidor Bas.ti"Do4
bastimentar bas.ti.men_d"ta4
bastir bas"ti4
basura ba"su.4a
basurear ba.su.4e"a4
batahola ba.ta"o.la
bataola ba.ta"o.la
batata ba"ta.ta
batayola ba.ta’j\o.la
batelero ba.te"le.4o
batey ba"tej
batidera ba.ti"De.4a
batidor ba.ti"Do4
batiportar %ba.ti.po4"ta4
batiporte %ba.ti"po4.te
batolito ba.to"li.to
baturro ba"tu.ro
batuta ba"tu.ta
bautismo baw"tis.mo
bautista baw"tis.ta
bautizar baw.ti"sa4
bayo "ba.j\o
baza "ba.sa
bazar ba"sa4
bazo "ba.so
bazofia ba"so.fja
bazuca ba."su.ka
beatificar bea.ti.fi"ka4
beato be_o"ä.t_do_o
bebedero be.Be"De.4o
bebedor be.Be."Do4
beber be."Be4
becar be"ka4
becerra be"se.ra
becerro be"se.ro
befo "be.fo
beicon "bej.kon
beis "bejs
bejucal be.xu"kal
bejuco be"xu.ko
beldad bel"daD
beldar bel"da4
belfo "bel.fo
bellacada be.ʎa."ka.Da
belleza be"j\e.sa
bello "be.ʎo
bemba "bem.ba
bendecir ben.de"si4
beneficiar be.ne.fi."sja4
beneficiario be.ne.fi."sja.4jo
beneficio be.ne."fi.sjo
benignamente be"niG.na"men_d.te
benteveo ben.te"Be.o
beocio be"o.sjo
beodo be"o.Do
berenjena be.4eN"xe.na
bergamota be4.Ga"mo.ta
bergamoto be4.Ga"mo.to
berilo be"4i.lo
beritense be.4i"ten.se
berma "be4.ma
bermejo be4"me.xo
berro "be.ro
besante be"san_d .te
besar be."sa4
beso "be.so
bestialidad bes.tja.li"DaD
beta "be.ta
bianual bi.a"nwal
biblia "bi.Blja
bibliofilia bi.Bljo"fi.lja
bibliomancia bi.Bljo"man.sja
biblioteca bi.Bljo"te.ka
bicarbonato bi.ka4.Bo"na.to
bicha "bi.tSa
bichero bi"tSe.4o
bicho "bi.t`So
bici "bi.si
bicoca bi"ko.ka
biconvexo bi.kom."bek.so
bicuento bi"kwen.to
biela "bje.la
bieldar bjel"da4
bielorruso bje.lo"ru.so
biempensante bjem.pen"san_d.te
bien "bjen
bienal bi.e"nal
bienandanza bien.an_d"dan.sa
bienestar bje nes "ta4
bienhablado bjen.na"Bla.Do
bienvenido bjem.be"ni.Do
bienvista bjen"bis.ta
bienvivir %bjem.bi"Bi4
bienza "bjen.sa
bierzo "bje4.so
bife "bi.fe
biforme bi"fo4.me
bifronte bi"f4on.te
bifurcarse bi.fu4"ka4.se
biga "bi.Ga
bigardo bi"M\a4.Do
bigornia bi"M\o4.nja
bigote bi"Go.te
bigotudo bi.Go"tu.Do
bija "bi.xa
bilabial bi.la"Bjal
biliar bi."lja4
bilis "bi.lis
bimestral bi.mes"t4al
binario bi"na.4jo
bioelemento bi.o.e.le"men.to
biografiar bjo.G4a"fja4
biomasa bjo"ma.sa
biosfera bjos"fe.4a
biota "bjo.ta
bipartito bi.pa4"ti.to
biplano bi"pla.no
bipolar bi.po"la4
birlar bi4"la4
birome bi"4o.me
bisabuelo bi.sa"Bwe.lo
bisalto bi"sal.to
bisbisar bis.Bi"sa4
bisbisear bis.Bi.se"ar
bisecar bi.se"ka4
bisel bi’sel
bisexual bi.se"ksual
bisiesto bi"sjes.to
bisonte bi."son.te
bistec bis"tek
bitar bi"ta4
bitonal bi.to."nal
bitumen bi"tu.men
bituminoso bi.tu.mi"no.so
blanca "blaN.ka
blanco "blaN.ko
blandamente "blan_d.da"men_d.te
blanquear blan.ke"a4
blasfemar blas.fe"ma4
blasfemia blas"fe.mja
blincar bliN"ka4
blindar blin_d"da4
blocar blo"ka4
blonda "blon.da
boato bo"a.to
bobada bo"Ba.Da
bobedad bo.Be"DaD
bobo "bo.Bo
bocado bo"ka.Do
bocanada bo.ka."na.Da
boceto bo"se.to
bocha "bo.tSa
bochazo bo"tSa.so
bochinche bo"tSiJ.tSe
bochorno bo"tSo4.no
bocina bo"si.na
bocio "bo.sjo
boda "bo.Da
bodega bo"De.M\a
